year,prefecture,population
2013,宮城県,2333000
2013,秋田県,1050000
2013,山形県,1144000
2013,福島県,1940000
2013,茨城県,2937000
2013,栃木県,1986000
2013,群馬県,1986000
2013,埼玉県,7228000
2013,千葉県,6201000
2013,東京都,13307000
2013,神奈川県,9084000
2013,新潟県,2336000
2013,富山県,1077000
2013,石川県,1160000
2013,福井県,796000
2013,山梨県,847000
2013,長野県,2122000
2013,岐阜県,2053000
2013,静岡県,3730000
2013,愛知県,7449000
2013,三重県,1833000
2013,滋賀県,1415000
2013,京都府,2622000
2013,大阪府,8856000
2013,兵庫県,5565000
2013,奈良県,1381000
2013,和歌山県,980000
2013,鳥取県,580000
2013,島根県,704000
2013,岡山県,1932000
2013,広島県,2850000
2013,山口県,1425000
2013,徳島県,769000
2013,香川県,985000
2013,愛媛県,1406000
2013,高知県,743000
2013,福岡県,5096000
2013,佐賀県,841000
2013,長崎県,1397000
2013,熊本県,1801000
2013,大分県,1180000
2013,宮崎県,1119000
2013,鹿児島県,1675000
2013,沖縄県,1419000
2012,北海道,5465000
2012,青森県,1350000
2012,岩手県,1306000
2012,宮城県,2329000
2012,秋田県,1063000
2012,山形県,1153000
2012,福島県,1957000
2012,茨城県,2947000
2012,栃木県,1992000
2012,群馬県,1994000
2012,埼玉県,7216000
2012,千葉県,6200000
2012,東京都,13234000
2012,神奈川県,9070000
2012,新潟県,2350000
2012,富山県,1083000
2012,石川県,1164000
2012,福井県,800000
2012,山梨県,852000
2012,長野県,2132000
2012,岐阜県,2062000
2012,静岡県,3739000
2012,愛知県,7431000
2012,三重県,1841000
2012,滋賀県,1414000
2012,京都府,2628000
2012,大阪府,8861000
2012,兵庫県,5575000
2012,奈良県,1388000
2012,和歌山県,988000
2012,鳥取県,583000
2012,島根県,708000
2012,岡山県,1937000
2012,広島県,2855000
2012,山口県,1434000
2012,徳島県,775000
2012,香川県,989000
2012,愛媛県,1415000
2012,高知県,751000
2012,福岡県,5089000
2012,佐賀県,845000
2012,長崎県,1408000
2012,熊本県,1807000
2012,大分県,1186000
2012,宮崎県,1125000
2012,鹿児島県,1687000
2012,沖縄県,1411000
