year,prefecture,number_of_stores
2013,高知県,160
2013,福岡県,1798
2013,佐賀県,309
2013,長崎県,392
2013,熊本県,545
2013,大分県,361
2013,宮崎県,331
2013,鹿児島県,526
2013,沖縄県,374
2012,北海道,2664
2012,青森県,461
2012,岩手県,464
2012,宮城県,1003
2012,秋田県,346
2012,山形県,398
2012,福島県,717
2012,茨城県,1278
2012,栃木県,778
2012,群馬県,814
2012,埼玉県,2463
2012,千葉県,2309
2012,東京都,6523
2012,神奈川県,3407
2012,新潟県,819
2012,富山県,445
2012,石川県,430
2012,福井県,295
2012,山梨県,368
2012,長野県,798
2012,岐阜県,755
2012,静岡県,1448
2012,愛知県,3074
2012,三重県,621
2012,滋賀県,486
2012,京都府,898
2012,大阪府,3143
2012,兵庫県,1601
2012,奈良県,353
2012,和歌山県,265
2012,鳥取県,193
2012,島根県,212
2012,岡山県,623
2012,広島県,959
2012,山口県,440
2012,徳島県,256
2012,香川県,310
2012,愛媛県,439
2012,高知県,214
2012,福岡県,1770
2012,佐賀県,301
2012,長崎県,387
2012,熊本県,555
2012,大分県,366
2012,宮崎県,322
2012,鹿児島県,467
2012,沖縄県,462
